shipment_id,order_id,origin_store,destination_city,ship_date,delivery_date,status,carrier
SHP-000001,WEB-010522,STR-BAN-02,Mumbai,2023-10-26,2023-10-27,Delivered,Shadowfax
SHP-000002,WEB-011123,STR-JAI-03,Pune,2023-02-06,2023-02-08,Delivered,Ecom Express
SHP-000003,WEB-010083,STR-BAN-03,Bangalore,2023-12-09,2023-12-12,Delivered,DTDC
SHP-000004,WEB-008076,STR-HYD-04,Ahmedabad,2023-11-30,2023-12-03,Delivered,India Post
SHP-000005,WEB-013503,STR-AHM-03,Mumbai,2023-03-18,2023-03-28,Delivered,Shadowfax
SHP-000006,WEB-006556,STR-LUC-04,Hyderabad,2023-10-14,2023-10-15,Delivered,DTDC
SHP-000007,WEB-005734,STR-AHM-03,Delhi,2024-11-14,2024-11-15,Delivered,BlueDart
SHP-000008,WEB-014304,STR-LUC-02,Bangalore,2024-05-12,2024-05-13,Delivered,Ecom Express
SHP-000009,WEB-000147,STR-AHM-05,Delhi,2023-07-30,2023-08-04,Delivered,Shadowfax
SHP-000010,WEB-008242,STR-JAI-03,Bangalore,2024-10-14,2024-10-15,Delivered,XpressBees
SHP-000011,WEB-002233,STR-DEL-05,Kolkata,2023-08-16,2023-08-18,Returned,India Post
SHP-000012,WEB-001585,STR-AHM-04,Pune,2023-10-28,2023-11-05,Delivered,Delhivery
SHP-000013,WEB-004615,STR-BAN-03,Mumbai,2023-07-19,2023-07-24,Delivered,DTDC
SHP-000014,WEB-002916,STR-AHM-05,Hyderabad,2024-05-04,,In Transit,BlueDart
SHP-000015,WEB-000796,STR-HYD-02,Lucknow,2024-12-09,2024-12-12,Delivered,Shadowfax
SHP-000016,WEB-000306,STR-LUC-03,Chennai,2023-08-11,,In Transit,Ecom Express
SHP-000017,WEB-009791,STR-JAI-02,Bangalore,2023-06-25,,In Transit,Delhivery
SHP-000018,WEB-006158,STR-AHM-03,Kolkata,2024-07-18,2024-07-20,Delivered,Shadowfax
SHP-000019,WEB-004490,STR-CHE-04,Lucknow,2024-01-06,2024-01-11,Delivered,Ecom Express
SHP-000020,WEB-012487,STR-MUM-01,Delhi,2024-01-25,2024-01-26,Delivered,India Post
SHP-000021,WEB-007164,STR-LUC-02,Kolkata,2023-11-14,2023-11-21,Delivered,Shadowfax
SHP-000022,WEB-002016,STR-PUN-05,Lucknow,2023-12-03,2023-12-07,Delivered,Delhivery
SHP-000023,WEB-009334,STR-PUN-03,Ahmedabad,2024-07-21,2024-07-22,Delivered,Shadowfax
SHP-000024,WEB-002697,STR-CHE-04,Ahmedabad,2023-04-04,2023-04-09,Delayed,Delhivery
SHP-000025,WEB-000464,STR-CHE-05,Jaipur,2023-01-26,2023-01-28,Delivered,Ecom Express
SHP-000026,WEB-003646,STR-KOL-01,Kolkata,2023-12-16,2023-12-18,Delivered,BlueDart
SHP-000027,WEB-001770,STR-KOL-05,Jaipur,2023-12-31,2024-01-03,Delivered,Ecom Express
SHP-000028,WEB-003627,STR-MUM-04,Delhi,2024-09-09,2024-09-10,Delivered,India Post
SHP-000029,WEB-014461,STR-BAN-04,Kolkata,2025-01-13,2025-01-17,Delivered,XpressBees
SHP-000030,WEB-009710,STR-AHM-03,Hyderabad,2024-04-08,2024-04-12,Delivered,DTDC
SHP-000031,WEB-013584,STR-JAI-05,Mumbai,2024-09-29,2024-10-04,Delivered,BlueDart
SHP-000032,WEB-007690,STR-LUC-04,Mumbai,2024-05-25,2024-05-29,Delivered,India Post
SHP-000033,WEB-013303,STR-HYD-03,Mumbai,2023-02-15,2023-02-18,Delivered,BlueDart
SHP-000034,WEB-009206,STR-PUN-04,Ahmedabad,2024-12-26,2024-12-28,Delivered,DTDC
SHP-000035,WEB-009277,STR-HYD-04,Mumbai,2024-11-19,2024-11-22,Delivered,XpressBees
SHP-000036,WEB-004708,STR-LUC-03,Chennai,2023-07-21,2023-07-22,Delivered,DTDC
SHP-000037,WEB-006282,STR-CHE-02,Kolkata,2024-12-11,2024-12-14,Delivered,BlueDart
SHP-000038,WEB-013508,STR-LUC-01,Mumbai,2024-10-07,,In Transit,Ecom Express
SHP-000039,WEB-012945,STR-HYD-03,Bangalore,2023-09-30,2023-10-05,Delivered,DTDC
SHP-000040,WEB-014267,STR-AHM-03,Jaipur,2024-02-26,2024-03-02,Delivered,India Post
SHP-000041,WEB-014416,STR-KOL-04,Kolkata,2023-04-07,2023-04-18,Delivered,BlueDart
SHP-000042,WEB-001831,STR-HYD-03,Kolkata,2025-01-02,2025-01-04,Delivered,India Post
SHP-000043,WEB-010579,STR-PUN-04,Mumbai,2024-01-17,2024-01-22,Delivered,Shadowfax
SHP-000044,WEB-011357,STR-PUN-01,Lucknow,2023-06-04,2023-06-07,Delivered,Shadowfax
SHP-000045,WEB-002817,STR-JAI-03,Hyderabad,2023-07-16,2023-07-20,Delivered,XpressBees
SHP-000046,WEB-009106,STR-MUM-04,Delhi,2023-11-06,,In Transit,Ecom Express
SHP-000047,WEB-002937,STR-BAN-04,Pune,2023-05-25,2023-05-30,Delivered,Delhivery
SHP-000048,WEB-005560,STR-CHE-03,Bangalore,2024-01-08,2024-01-13,Delivered,XpressBees
SHP-000049,WEB-010896,STR-DEL-05,Pune,2023-08-24,2023-08-26,Delivered,Ecom Express
SHP-000050,WEB-004505,STR-MUM-03,Pune,2023-06-07,2023-06-08,Delivered,BlueDart
SHP-000051,WEB-009170,STR-PUN-03,Chennai,2024-10-11,2024-10-12,Delivered,Delhivery
SHP-000052,WEB-001004,STR-MUM-01,Jaipur,2023-07-12,2023-07-13,Delivered,Ecom Express
SHP-000053,WEB-002689,STR-DEL-03,Kolkata,2023-07-21,2023-07-22,Delivered,Ecom Express
SHP-000054,WEB-002182,STR-AHM-05,Ahmedabad,2024-05-22,2024-05-23,Delivered,XpressBees
SHP-000055,WEB-007972,STR-HYD-02,Kolkata,2024-05-20,2024-05-25,Delivered,DTDC
SHP-000056,WEB-001257,STR-JAI-04,Pune,2024-01-15,2024-01-18,Delivered,BlueDart
SHP-000057,WEB-002888,STR-PUN-02,Pune,2024-10-18,2024-10-19,Delivered,Ecom Express
SHP-000058,WEB-002760,STR-JAI-02,Pune,2024-01-23,2024-02-03,Delivered,XpressBees
