snapshot_date,store_id,store_city,product_id,product_name,category,quantity_on_hand,reorder_level,unit_cost
2023-01-01,STR-MUM-01,Mumbai,P0076,Coconut Oil 1L,Groceries,120,11,283.97
2023-01-01,STR-MUM-01,Mumbai,P0092,Pressure Cooker 5L,Home & Kitchen,331,25,5691.55
2023-01-01,STR-MUM-01,Mumbai,P0023,Car Phone Mount,Electronics,280,42,12380.95
2023-01-01,STR-MUM-01,Mumbai,P0111,Vacuum Flask 1L,Home & Kitchen,493,21,10001.56
2023-01-01,STR-MUM-01,Mumbai,P0178,Grit Angela Duckworth,Books,150,42,623.46
2023-01-01,STR-MUM-01,Mumbai,P0075,Cumin Seeds 100g,Groceries,65,40,446.21
2023-01-01,STR-MUM-01,Mumbai,P0045,Running Shorts,Clothing,263,24,543.36
2023-01-01,STR-MUM-01,Mumbai,P0200,Train Set Electric,Toys,482,50,2033.05
2023-01-01,STR-MUM-01,Mumbai,P0123,Face Mask Sheet 5pk,Beauty,39,27,2687.93
2023-01-01,STR-MUM-01,Mumbai,P0157,Swimming Goggles,Sports,168,44,2772.64
2023-01-01,STR-MUM-01,Mumbai,P0198,Globe Educational,Toys,0,35,232.61
2023-01-01,STR-MUM-01,Mumbai,P0069,Peanut Butter 400g,Groceries,363,47,234.6
2023-01-01,STR-MUM-01,Mumbai,P0071,Pasta Penne 500g,Groceries,231,34,168.24
2023-01-01,STR-MUM-01,Mumbai,P0185,Board Game Monopoly,Toys,342,21,1117.97
2023-01-01,STR-MUM-01,Mumbai,P0049,Formal Blazer,Clothing,54,14,2659.46
2023-01-01,STR-MUM-01,Mumbai,P0067,Honey Organic 500g,Groceries,55,28,158.34
2023-01-01,STR-MUM-01,Mumbai,P0103,Towel Set Bath 4pc,Home & Kitchen,472,31,6521.88
2023-01-01,STR-MUM-01,Mumbai,P0031,Cotton T-Shirt,Clothing,379,35,3463.81
2023-01-01,STR-MUM-01,Mumbai,P0155,Dumbbells 5kg Pair,Sports,394,16,1024.06
2023-01-01,STR-MUM-01,Mumbai,P0166,Deep Work,Books,122,50,171.51
2023-01-01,STR-MUM-01,Mumbai,P0065,Wheat Flour 5kg,Groceries,287,39,556.6
